ID	Cmax	Cpos	Ymax	Ypos	Smax	Spos	Smean	D	isSignal	Dmaxcut	Networks-used
NTX153780	0.135	19	0.200	19	0.483	12	0.303	0.256	N	0.450	SignalP-noTM
NTX158513	0.108	33	0.104	33	0.110	23	0.099	0.102	N	0.450	SignalP-noTM
NTX162333	0.128	20	0.162	20	0.258	1	0.196	0.180	N	0.450	SignalP-noTM
NTX167753	0.109	32	0.105	40	0.113	28	0.099	0.102	N	0.450	SignalP-noTM
NTX172333	0.109	44	0.110	11	0.128	1	0.108	0.109	N	0.450	SignalP-noTM
NTX174465	0.171	64	0.136	64	0.140	1	0.104	0.119	N	0.450	SignalP-noTM
NTX174474	0.108	33	0.105	60	0.116	46	0.099	0.102	N	0.450	SignalP-noTM
NTX179731	0.106	57	0.117	11	0.160	3	0.124	0.120	N	0.500	SignalP-TM
NTX181798	0.113	31	0.104	57	0.115	20	0.096	0.100	N	0.450	SignalP-noTM
NTX182970	0.127	61	0.151	65	0.283	60	0.141	0.147	N	0.500	SignalP-TM
NTX186153	0.107	50	0.110	29	0.126	20	0.109	0.110	N	0.450	SignalP-noTM
NTX191608	0.612	20	0.742	20	0.934	11	0.897	0.826	Y	0.450	SignalP-noTM
NTX194714	0.199	23	0.336	23	0.761	20	0.510	0.406	N	0.500	SignalP-TM
NTX195819	0.110	38	0.108	38	0.118	3	0.102	0.104	N	0.450	SignalP-noTM
NTX196518	0.207	46	0.326	19	0.875	11	0.663	0.461	N	0.500	SignalP-TM
NTX197755	0.108	30	0.105	57	0.117	7	0.098	0.101	N	0.450	SignalP-noTM
NTX197757	0.112	29	0.105	42	0.109	28	0.097	0.101	N	0.450	SignalP-noTM
NTX197758	0.127	25	0.119	25	0.134	21	0.110	0.114	N	0.450	SignalP-noTM
NTX198272	0.578	38	0.391	38	0.362	33	0.254	0.336	N	0.500	SignalP-TM
NTX198275	0.228	29	0.422	29	0.895	3	0.797	0.624	Y	0.450	SignalP-noTM
NTX198276	0.288	29	0.482	29	0.910	18	0.818	0.663	Y	0.450	SignalP-noTM
NTX198863	0.128	14	0.158	14	0.281	11	0.197	0.179	N	0.450	SignalP-noTM
NTX203586	0.112	63	0.106	48	0.123	6	0.102	0.104	N	0.450	SignalP-noTM
NTX209046	0.112	68	0.107	29	0.123	21	0.101	0.104	N	0.450	SignalP-noTM
NTX209047	0.112	68	0.107	29	0.123	21	0.101	0.104	N	0.450	SignalP-noTM
NTX215192	0.112	57	0.110	40	0.123	35	0.097	0.103	N	0.450	SignalP-noTM
NTX219211	0.151	27	0.244	11	0.656	7	0.570	0.420	N	0.450	SignalP-noTM
NTX224410	0.108	43	0.115	11	0.144	1	0.108	0.111	N	0.450	SignalP-noTM
NTX227874	0.758	20	0.852	20	0.981	13	0.959	0.910	Y	0.450	SignalP-noTM
NTX229269	0.335	31	0.296	31	0.598	30	0.221	0.266	N	0.500	SignalP-TM
NTX235534	0.555	24	0.643	24	0.859	18	0.745	0.698	Y	0.450	SignalP-noTM
NTX250387	0.133	22	0.120	22	0.125	5	0.108	0.113	N	0.450	SignalP-noTM
NTX258476	0.194	46	0.240	46	0.432	43	0.211	0.228	N	0.500	SignalP-TM
NTX259515	0.232	48	0.155	48	0.271	22	0.135	0.147	N	0.500	SignalP-TM
NTX261493	0.108	14	0.105	52	0.111	45	0.098	0.101	N	0.450	SignalP-noTM
NTX277697	0.161	34	0.240	34	0.549	32	0.306	0.267	N	0.500	SignalP-TM
NTX281326	0.109	41	0.125	12	0.168	1	0.132	0.129	N	0.450	SignalP-noTM
NTX283443	0.386	52	0.142	18	0.263	11	0.175	0.155	N	0.500	SignalP-TM
NTX283584	0.517	33	0.598	33	0.834	29	0.525	0.569	Y	0.500	SignalP-TM
NTX283585	0.496	33	0.541	33	0.757	31	0.466	0.511	Y	0.500	SignalP-TM
NTX283586	0.516	33	0.564	33	0.778	29	0.486	0.533	Y	0.500	SignalP-TM
NTX283587	0.517	33	0.598	33	0.841	29	0.523	0.568	Y	0.500	SignalP-TM
NTX287011	0.638	27	0.740	27	0.973	15	0.867	0.809	Y	0.450	SignalP-noTM
NTX288935	0.782	24	0.858	24	0.981	15	0.941	0.903	Y	0.450	SignalP-noTM
NTX290413	0.119	19	0.111	19	0.130	1	0.099	0.105	N	0.450	SignalP-noTM
NTX290420	0.306	19	0.252	19	0.477	14	0.212	0.230	N	0.450	SignalP-noTM
NTX300693	0.108	35	0.106	35	0.117	26	0.099	0.103	N	0.450	SignalP-noTM
NTX300728	0.467	46	0.431	46	0.592	41	0.285	0.373	N	0.500	SignalP-TM
NTX300729	0.467	46	0.431	46	0.592	41	0.285	0.373	N	0.500	SignalP-TM
NTX305323	0.699	24	0.739	24	0.955	3	0.786	0.764	Y	0.450	SignalP-noTM
NTX305325	0.501	21	0.665	21	0.926	17	0.884	0.783	Y	0.450	SignalP-noTM
NTX305335	0.105	4	0.102	41	0.113	13	0.097	0.099	N	0.450	SignalP-noTM
NTX320503	0.148	60	0.217	60	0.711	50	0.179	0.202	N	0.500	SignalP-TM
NTX321879	0.107	59	0.103	11	0.114	1	0.098	0.101	N	0.450	SignalP-noTM
NTX334440	0.109	49	0.107	49	0.115	35	0.097	0.102	N	0.450	SignalP-noTM
NTX334522	0.113	35	0.123	14	0.169	14	0.124	0.123	N	0.450	SignalP-noTM
NTX339118	0.131	40	0.123	40	0.209	39	0.110	0.116	N	0.450	SignalP-noTM
NTX339119	0.128	40	0.123	40	0.218	39	0.113	0.118	N	0.450	SignalP-noTM
NTX359969	0.283	39	0.244	39	0.350	18	0.188	0.221	N	0.500	SignalP-TM
NTX361180	0.166	16	0.223	16	0.481	14	0.317	0.274	N	0.450	SignalP-noTM
NTX365193	0.641	26	0.704	26	0.902	18	0.750	0.729	Y	0.450	SignalP-noTM
NTX368810	0.110	58	0.133	11	0.205	1	0.135	0.134	N	0.450	SignalP-noTM
NTX370167	0.136	24	0.118	24	0.122	46	0.103	0.110	N	0.450	SignalP-noTM
NTX370169	0.143	21	0.125	21	0.131	20	0.108	0.116	N	0.450	SignalP-noTM
NTX370170	0.136	24	0.119	24	0.127	46	0.103	0.110	N	0.450	SignalP-noTM
NTX370171	0.115	43	0.112	12	0.137	3	0.113	0.112	N	0.450	SignalP-noTM
NTX373859	0.124	22	0.117	22	0.143	21	0.110	0.113	N	0.450	SignalP-noTM
NTX384363	0.538	30	0.674	30	0.976	18	0.861	0.775	Y	0.450	SignalP-noTM
NTX385936	0.873	32	0.886	32	0.973	20	0.869	0.877	Y	0.450	SignalP-noTM
NTX392595	0.114	51	0.108	51	0.113	38	0.100	0.104	N	0.450	SignalP-noTM
NTX396264	0.109	53	0.107	24	0.143	13	0.107	0.107	N	0.450	SignalP-noTM
NTX412251	0.118	35	0.129	35	0.221	31	0.141	0.136	N	0.450	SignalP-noTM
NTX414439	0.506	19	0.267	19	0.239	44	0.140	0.216	N	0.500	SignalP-TM
NTX416425	0.120	22	0.110	22	0.126	1	0.099	0.104	N	0.450	SignalP-noTM
NTX416431	0.120	44	0.112	28	0.147	12	0.113	0.112	N	0.450	SignalP-noTM
NTX416432	0.691	33	0.726	33	0.874	24	0.737	0.732	Y	0.450	SignalP-noTM
NTX417466	0.135	32	0.164	32	0.321	26	0.187	0.173	N	0.500	SignalP-TM
NTX422414	0.156	52	0.142	52	0.161	42	0.110	0.129	N	0.500	SignalP-TM
NTX424491	0.123	48	0.111	48	0.115	42	0.094	0.102	N	0.450	SignalP-noTM
NTX426129	0.170	24	0.139	24	0.155	23	0.114	0.126	N	0.450	SignalP-noTM
NTX426130	0.169	24	0.138	24	0.157	34	0.113	0.124	N	0.450	SignalP-noTM
NTX426131	0.171	24	0.140	24	0.159	23	0.115	0.127	N	0.450	SignalP-noTM
NTX426132	0.170	24	0.138	24	0.158	34	0.113	0.125	N	0.450	SignalP-noTM
NTX430053	0.167	25	0.157	25	0.244	4	0.153	0.155	N	0.450	SignalP-noTM
NTX434526	0.107	38	0.106	38	0.119	31	0.100	0.103	N	0.450	SignalP-noTM
NTX440946	0.114	63	0.103	70	0.150	62	0.067	0.088	N	0.500	SignalP-TM
NTX441054	0.179	34	0.159	16	0.352	14	0.243	0.192	N	0.500	SignalP-TM
NTX442957	0.205	27	0.140	27	0.136	1	0.100	0.119	N	0.450	SignalP-noTM
NTX445423	0.445	23	0.534	23	0.853	15	0.642	0.593	Y	0.450	SignalP-noTM
NTX449135	0.117	41	0.104	41	0.113	13	0.092	0.098	N	0.450	SignalP-noTM
NTX466966	0.110	15	0.105	11	0.117	9	0.105	0.105	N	0.450	SignalP-noTM
NTX476606	0.108	30	0.106	53	0.114	43	0.100	0.103	N	0.450	SignalP-noTM
NTX481242	0.225	36	0.265	36	0.597	1	0.357	0.302	N	0.500	SignalP-TM
NTX481636	0.133	26	0.117	26	0.126	8	0.102	0.109	N	0.450	SignalP-noTM
NTX481639	0.124	33	0.117	13	0.134	1	0.117	0.117	N	0.450	SignalP-noTM
NTX481642	0.107	61	0.104	61	0.125	9	0.093	0.098	N	0.450	SignalP-noTM
NTX481644	0.112	23	0.125	11	0.158	1	0.128	0.127	N	0.450	SignalP-noTM
NTX483239	0.133	12	0.181	12	0.393	11	0.276	0.232	N	0.450	SignalP-noTM
NTX489716	0.108	63	0.108	34	0.118	27	0.103	0.105	N	0.450	SignalP-noTM
NTX495772	0.577	22	0.682	22	0.900	14	0.805	0.748	Y	0.450	SignalP-noTM
NTX495773	0.109	51	0.105	68	0.112	22	0.100	0.102	N	0.450	SignalP-noTM
NTX502059	0.121	28	0.131	28	0.202	16	0.133	0.132	N	0.500	SignalP-TM
NTX502969	0.108	23	0.103	47	0.110	32	0.095	0.099	N	0.450	SignalP-noTM
NTX519191	0.550	19	0.665	19	0.880	2	0.817	0.726	Y	0.500	SignalP-TM
NTX520039	0.116	47	0.110	47	0.139	45	0.101	0.105	N	0.450	SignalP-noTM
NTX522500	0.105	30	0.098	30	0.103	29	0.090	0.094	N	0.450	SignalP-noTM
NTX527881	0.594	39	0.416	39	0.502	19	0.259	0.353	N	0.500	SignalP-TM
NTX527883	0.808	20	0.785	20	0.855	7	0.756	0.770	Y	0.450	SignalP-noTM
NTX531812	0.110	28	0.107	28	0.123	7	0.105	0.106	N	0.450	SignalP-noTM
NTX541535	0.109	44	0.102	40	0.104	27	0.095	0.098	N	0.450	SignalP-noTM
NTX546560	0.138	29	0.211	24	0.534	3	0.348	0.285	N	0.450	SignalP-noTM
NTX555237	0.589	45	0.588	45	0.814	44	0.267	0.460	N	0.500	SignalP-TM
NTX559244	0.613	26	0.643	26	0.870	20	0.660	0.652	Y	0.450	SignalP-noTM
NTX560137	0.168	31	0.319	18	0.895	17	0.699	0.524	Y	0.450	SignalP-noTM
NTX565237	0.115	30	0.102	70	0.105	60	0.094	0.098	N	0.450	SignalP-noTM
NTX569558	0.109	65	0.112	39	0.134	25	0.109	0.110	N	0.450	SignalP-noTM
NTX570137	0.510	21	0.296	21	0.271	19	0.177	0.232	N	0.450	SignalP-noTM
NTX576827	0.684	20	0.780	20	0.933	15	0.890	0.839	Y	0.450	SignalP-noTM
NTX584087	0.270	23	0.325	23	0.644	2	0.466	0.381	N	0.500	SignalP-TM
NTX593859	0.125	21	0.128	21	0.174	11	0.132	0.130	N	0.450	SignalP-noTM
NTX596504	0.116	21	0.110	48	0.142	45	0.104	0.107	N	0.450	SignalP-noTM
NTX597084	0.462	59	0.304	59	0.384	54	0.148	0.242	N	0.500	SignalP-TM
NTX605362	0.106	23	0.115	16	0.148	12	0.118	0.116	N	0.450	SignalP-noTM
NTX606451	0.108	20	0.110	11	0.158	26	0.111	0.111	N	0.450	SignalP-noTM
NTX633400	0.160	22	0.145	22	0.189	2	0.129	0.137	N	0.450	SignalP-noTM
NTX639359	0.809	31	0.793	31	0.896	16	0.787	0.790	Y	0.450	SignalP-noTM
NTX654933	0.739	34	0.827	34	0.974	15	0.865	0.847	Y	0.450	SignalP-noTM
NTX658111	0.132	27	0.110	27	0.129	26	0.094	0.101	N	0.450	SignalP-noTM
NTX664123	0.118	40	0.108	66	0.122	50	0.099	0.104	N	0.450	SignalP-noTM
