ID	GeneID	GeneName	Hyperlink
NTX272239	hsa:3854	KRT6B, CK-6B, CK6B, K6B, KRTL1, PC2, PC4	http://www.genome.jp/dbget-bin/www_bget?hsa:3854
NTX287963	hsa:7280	TUBB2A, CDCBM5, TUBB, TUBB2	http://www.genome.jp/dbget-bin/www_bget?hsa:7280
NTX294393	hsa:50487	PLA2G3, GIII-SPLA2, SPLA2III, sPLA2-III	http://www.genome.jp/dbget-bin/www_bget?hsa:50487
NTX294400	hsa:50487	PLA2G3, GIII-SPLA2, SPLA2III, sPLA2-III	http://www.genome.jp/dbget-bin/www_bget?hsa:50487
NTX296672	hsa:71	ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176	http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX320681	hsa:805	CALM2, CAMII, LQT15, PHKD, PHKD2, caM	http://www.genome.jp/dbget-bin/www_bget?hsa:805
NTX334176	hsa:2597	GAPDH, G3PD, GAPD, HEL-S-162eP	http://www.genome.jp/dbget-bin/www_bget?hsa:2597
NTX362604	hsa:3309	HSPA5, BIP, GRP78, HEL-S-89n, MIF2	http://www.genome.jp/dbget-bin/www_bget?hsa:3309
NTX367096	hsa:5034	P4HB, CLCRP1, DSI, ERBA2L, GIT, P4Hbeta, PDI, PDIA1, PHDB, PO4DB, PO4HB, PROHB	http://www.genome.jp/dbget-bin/www_bget?hsa:5034
NTX377458	hsa:5651	TMPRSS15, ENTK, PRSS7	http://www.genome.jp/dbget-bin/www_bget?hsa:5651
NTX377459	hsa:5651	TMPRSS15, ENTK, PRSS7	http://www.genome.jp/dbget-bin/www_bget?hsa:5651
NTX379025	hsa:8708	B3GALT1, beta3Gal-T1	http://www.genome.jp/dbget-bin/www_bget?hsa:8708
NTX386244	hsa:59084	ENPP5, NPP-5	http://www.genome.jp/dbget-bin/www_bget?hsa:59084
NTX391131	hsa:102	ADAM10, AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz	http://www.genome.jp/dbget-bin/www_bget?hsa:102
NTX396452	hsa:8349	HIST2H2BE, GL105, H2B, H2B.1, H2BFQ, H2BGL105, H2BQ	http://www.genome.jp/dbget-bin/www_bget?hsa:8349
NTX418497	hsa:70	ACTC1, ACTC, ASD5, CMD1R, CMH11, LVNC4	http://www.genome.jp/dbget-bin/www_bget?hsa:70
NTX448853	hsa:7178	TPT1, HRF, TCTP, p02, p23	http://www.genome.jp/dbget-bin/www_bget?hsa:7178
NTX482890	hsa:10383	TUBB4B, Beta2, TUBB2, TUBB2C	http://www.genome.jp/dbget-bin/www_bget?hsa:10383
NTX509425	hsa:5110	PCMT1, PIMT	http://www.genome.jp/dbget-bin/www_bget?hsa:5110
NTX511948	hsa:5122	PCSK1, BMIQ12, NEC1, PC1, PC3, SPC3	http://www.genome.jp/dbget-bin/www_bget?hsa:5122
NTX545634	hsa:5045	FURIN, FUR, PACE, PCSK3, SPC1	http://www.genome.jp/dbget-bin/www_bget?hsa:5045
NTX562117	hsa:4697	NDUFA4, CI-9k, CI-MLRQ, MLRQ	http://www.genome.jp/dbget-bin/www_bget?hsa:4697
NTX566926	hsa:6208	RPS14, EMTB, S14	http://www.genome.jp/dbget-bin/www_bget?hsa:6208
NTX568738	hsa:3856	KRT8, CARD2, CK-8, CK8, CYK8, K2C8, K8, KO	http://www.genome.jp/dbget-bin/www_bget?hsa:3856
NTX603250	hsa:5034	P4HB, CLCRP1, DSI, ERBA2L, GIT, P4Hbeta, PDI, PDIA1, PHDB, PO4DB, PO4HB, PROHB	http://www.genome.jp/dbget-bin/www_bget?hsa:5034
NTX629731	hsa:5122	PCSK1, BMIQ12, NEC1, PC1, PC3, SPC3	http://www.genome.jp/dbget-bin/www_bget?hsa:5122
NTX649733	hsa:23071	ERP44, PDIA10, TXNDC4	http://www.genome.jp/dbget-bin/www_bget?hsa:23071
NTX654270	hsa:4924	NUCB1, CALNUC, NUC	http://www.genome.jp/dbget-bin/www_bget?hsa:4924
NTX670861	hsa:11093	ADAMTS13, ADAM-TS13, ADAMTS-13, C9orf8, VWFCP, vWF-CP	http://www.genome.jp/dbget-bin/www_bget?hsa:11093
